Dreamcast VMU,3,,,,,,,,,,,,,,,,,,,,,,,,,
Game.Com,5.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,
Sega 32X,5.45555555555556,,,,,,,,,,,,,,,,,,,,,,,,,
Arcade,6.03636363636364,,,,,,,,,,,,,,,,,,,,,,,,,
Game Boy Color,6.19943820224719,,,,,,,,,,,,,,,,,,,,,,,,,
Vectrex,6.25,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo DS,6.28317307692308,,,,,,,,,,,,,,,,,,,,,,,,,
Wii,6.30007423904974,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo DSi,6.36980392156863,,,,,,,,,,,,,,,,,,,,,,,,,
Commodore 64/128,6.41666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
Atari 2600,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
NeoGeo,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
WonderSwan,6.5,,,,,,,,,,,,,,,,,,,,,,,,,
NES,6.5195652173913,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis,6.52586206896552,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation,6.56228991596639,,,,,,,,,,,,,,,,,,,,,,,,,
TurboGrafx-16,6.6,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo 64DD,6.62857142857143,,,,,,,,,,,,,,,,,,,,,,,,,
Game Boy Advance,6.6291935483871,,,,,,,,,,,,,,,,,,,,,,,,,
Windows Surface,6.7,,,,,,,,,,,,,,,,,,,,,,,,,
N-Gage,6.73,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation Portable,6.75184000000001,,,,,,,,,,,,,,,,,,,,,,,,,
Windows Phone,6.75714285714286,,,,,,,,,,,,,,,,,,,,,,,,,
Master System,6.76923076923077,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation 2,6.86916221033867,,,,,,,,,,,,,,,,,,,,,,,,,
iPod,6.90625,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo 64,6.97475083056479,,,,,,,,,,,,,,,,,,,,,,,,,
Sega CD,7,,,,,,,,,,,,,,,,,,,,,,,,,
GameCube,7.03654223968566,,,,,,,,,,,,,,,,,,,,,,,,,Handheld
Xbox 360,7.10360531309297,,,,,,,,,,,,,,,,,,,,,,,,,PDA
PC,7.10584930601454,,,,,,,,,,,,,,,,,,,,,,,,,PC/Mac
Lynx,7.14634146341463,,,,,,,,,,,,,,,,,,,,,,,,,Other
Wireless,7.17767955801104,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation 3,7.18671814671814,,,,,,,,,,,,,,,,,,,,,,,,,
Xbox,7.19963503649636,,,,,,,,,,,,,,,,,,,,,,,,,
Nintendo 3DS,7.23815028901734,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation Vita,7.25964912280702,,,,,,,,,,,,,,,,,,,,,,,,,
Saturn,7.28333333333333,,,,,,,,,,,,,,,,,,,,,,,,,Gen1
iPhone,7.29889570552146,,,,,,,,,,,,,,,,,,,,,,,,,Gen2
NeoGeo Pocket Color,7.32258064516129,,,,,,,,,,,,,,,,,,,,,,,,,Gen3
Dreamcast,7.37027972027972,,,,,,,,,,,,,,,,,,,,,,,,,Gen4
Wii U,7.49615384615385,,,,,,,,,,,,,,,,,,,,,,,,,
Android,7.5030303030303,,,,,,,,,,,,,,,,,,,,,,,,,
Xbox One,7.54571428571429,,,,,,,,,,,,,,,,,,,,,,,,,
Linux,7.55,,,,,,,,,,,,,,,,,,,,,,,,,
iPad,7.70425531914893,,,,,,,,,,,,,,,,,,,,,,,,,
PlayStation 4,7.72391304347826,,,,,,,,,,,,,,,,,,,,,,,,,
Super NES,7.73214285714286,,,,,,,,,,,,,,,,,,,,,,,,,
Game Boy,7.81363636363636,,,,,,,,,,,,,,,,,,,,,,,,,
Atari 5200,8,,,,,,,,,,,,,,,,,,,,,,,,,
TurboGrafx-CD,8,,,,,,,,,,,,,,,,,,,,,,,,,
Web Games,8,,,,,,,,,,,,,,,,,,,,,,,,,
Macintosh,8.10428571428571,,,,,,,,,,,,,,,,,,,,,,,,,
Pocket PC,8.5,,,,,,,,,,,,,,,,,,,,,,,,,
WonderSwan Color,8.6,,,,,,,,,,,,,,,,,,,,,,,,,
